id,camera_id
579,326
580,326
581,327
582,327
583,327
584,328
585,328
586,328
587,329
588,329
589,329
590,330
591,330
592,330
593,331
594,331
595,331
596,332
597,333
598,333
599,333
600,335
601,335
602,335
603,336
604,336
605,336
606,337
607,337
608,337
609,339
610,339
611,339
612,340
613,342
614,342
615,NULL
616,343
617,343
618,343
619,344
620,344
621,344
622,345
623,345
624,345
625,346
626,346
627,346
628,347
629,347
630,347
631,348
632,348
633,348
634,349
635,349
636,351
637,351
638,352
639,352
640,352
641,353
642,353
643,353
644,354
645,354
646,354
647,355
648,355
649,355
650,356
651,356
652,356
653,357
654,357
655,357
656,358
657,358
658,358
659,359
660,359
661,359
662,360
663,360
664,360
665,361
666,361
667,361
668,362
669,362
670,363
671,363
672,364
673,364
674,364
675,366
676,366
677,366
678,367
679,367
680,367
681,368
682,368
683,368
684,369
685,370
686,370
687,370
688,371
689,371
690,371
691,372
692,372
693,372
694,373
695,373
696,373
697,374
698,375
699,375
700,375
701,376
702,376
703,376
704,377
705,377
706,377
707,379
708,379
709,379
710,381
711,381
712,381
713,383
714,383
715,383
716,384
717,384
718,384
719,385
720,385
721,385
722,386
723,386
724,386
725,387
726,387
727,387
728,388
729,388
730,388
731,389
732,389
733,389
734,390
735,390
736,390
737,391
738,391
739,391
740,392
741,392
742,392
743,393
744,393
745,393
746,394
747,394
748,394
749,395
750,395
751,395
752,396
753,396
754,396
755,397
756,397
757,397
758,398
759,398
760,398
761,399
762,399
763,399
764,400
765,400
766,400
767,401
768,401
769,401
770,402
771,402
772,403
773,403
774,404
775,404
776,404
777,405
778,405
779,405
780,406
781,406
782,NULL
783,407
784,407
785,407
786,408
787,408
788,408
789,409
790,NULL
791,409
792,410
793,410
794,410
795,411
796,411
797,411
798,414
799,414
800,414
801,415
802,415
803,416
804,416
805,416
806,417
807,417
808,418
809,418
810,419
811,419
812,419
813,420
814,420
815,420
816,421
817,421
818,421
819,NULL
820,NULL
821,422
822,422
823,424
824,424
825,424
826,425
827,426
828,426
829,426
830,427
831,427
832,427
833,428
834,428
835,428
836,429
837,429
838,429
839,430
840,430
841,430
842,431
843,431
844,433
845,433
846,433
847,434
848,434
849,435
850,435
851,435
852,436
853,436
854,436
855,437
856,437
857,437
858,438
859,438
860,438
861,439
862,439
863,439
864,440
865,440
866,NULL
867,154
868,154
869,154
870,155
871,155
872,155
873,157
874,157
875,157
876,158
877,158
878,158
879,159
880,159
